pending_bookings,available_workers,avg_completion_time,day_of_week,actual_demand
27,8,5.16,Monday,46.37
107,57,5.32,Thursday,88.05
113,50,5.29,Wednesday,85.02
19,6,3.09,Sunday,30.99
47,32,7.55,Thursday,53.54
33,13,7.63,Saturday,66.91
40,32,5.38,Saturday,51.29
17,33,6.48,Friday,31.55
36,26,5.29,Friday,43.47
75,57,4.39,Thursday,51.37
63,11,5.63,Monday,88.02
119,57,4.87,Saturday,115.08
90,5,5.18,Monday,108.4
32,53,6.49,Monday,31.66
70,33,4.37,Thursday,61.87
46,42,1.29,Monday,31.95
49,39,2.15,Saturday,39.39
66,38,4.07,Wednesday,49.71
61,26,6.07,Friday,69.78
10,33,5.15,Wednesday,12.93
32,8,5.55,Monday,58.39
32,4,4.35,Wednesday,41.78
112,22,5.31,Saturday,132.67
48,30,3.3,Saturday,50.76
88,13,4.29,Monday,101.2
34,6,6.21,Thursday,55.07
66,17,7.1,Wednesday,71.81
79,8,4.04,Thursday,81.95
96,56,1.31,Thursday,58.4
93,51,2.13,Tuesday,62.65
107,32,1.15,Monday,91.83
66,58,5.57,Friday,54.15
101,40,3.33,Saturday,97.71
5,53,4.8,Saturday,5.0
31,59,4.45,Monday,17.15
66,4,1.57,Sunday,73.08
120,17,3.82,Sunday,131.84
81,13,2.54,Sunday,93.69
109,10,3.93,Friday,112.8
7,28,2.43,Saturday,5.0
107,53,6.88,Monday,111.5
74,47,2.22,Saturday,51.72
76,46,7.73,Thursday,77.58
31,7,3.91,Wednesday,36.39
13,8,6.92,Wednesday,34.72
66,28,5.4,Saturday,80.73
41,56,6.15,Tuesday,33.56
101,6,6.37,Friday,124.84
55,21,4.53,Sunday,67.44
110,22,4.8,Friday,113.19
48,35,4.6,Friday,51.87
28,22,5.12,Thursday,35.09
83,51,1.21,Friday,60.61
63,14,3.77,Wednesday,63.3
36,49,5.24,Thursday,23.34
100,3,5.18,Monday,122.39
92,28,6.55,Friday,100.37
109,16,5.59,Friday,121.75
56,40,7.94,Monday,71.17
117,39,2.99,Friday,103.85
66,13,3.51,Monday,78.06
117,38,3.69,Thursday,102.03
62,15,4.26,Wednesday,61.56
56,45,6.85,Monday,60.72
16,5,2.65,Tuesday,19.99
43,35,6.43,Monday,53.28
6,8,3.84,Friday,20.46
7,52,5.21,Sunday,5.0
117,58,5.43,Sunday,108.85
105,12,3.61,Thursday,103.39
117,7,4.59,Saturday,145.44
60,25,3.89,Thursday,55.11
85,12,1.48,Saturday,91.56
63,46,4.06,Sunday,56.13
117,4,1.68,Sunday,126.9
6,15,3.84,Monday,12.62
6,42,5.15,Wednesday,5.0
96,4,5.06,Tuesday,101.55
58,22,5.64,Thursday,64.42
91,3,1.67,Friday,95.95
105,39,5.56,Saturday,115.28
100,11,3.19,Friday,101.52
101,19,3.79,Wednesday,85.85
5,11,7.01,Saturday,34.29
23,13,1.06,Thursday,16.48
6,17,5.12,Monday,21.5
57,26,5.19,Friday,62.77
48,40,3.78,Wednesday,30.39
94,57,2.66,Thursday,61.68
36,37,2.64,Sunday,27.97
74,32,7.19,Sunday,95.23
36,33,4.09,Thursday,33.18
72,51,3.32,Thursday,50.98
59,7,4.14,Thursday,65.87
79,46,5.69,Saturday,86.01
60,52,2.02,Thursday,32.98
21,16,4.15,Friday,30.76
42,55,5.12,Wednesday,24.23
28,58,7.64,Saturday,32.46
73,13,2.77,Thursday,70.22
120,11,3.51,Tuesday,110.62
102,36,3.66,Tuesday,78.93
74,14,5.24,Wednesday,73.4
90,37,3.5,Sunday,84.14
15,37,4.73,Monday,15.96
116,3,6.47,Monday,144.72
20,42,5.94,Sunday,28.65
101,24,4.12,Saturday,115.43
77,31,7.05,Saturday,102.31
63,10,4.91,Saturday,93.08
74,13,4.78,Monday,87.73
84,43,1.24,Tuesday,54.28
97,39,7.91,Monday,109.21
7,16,1.86,Friday,6.91
24,32,2.62,Thursday,19.46
63,37,1.36,Saturday,48.84
40,23,5.48,Tuesday,42.33
23,39,2.57,Wednesday,8.95
94,7,2.26,Wednesday,85.85
71,21,1.62,Thursday,59.99
23,16,1.72,Tuesday,15.88
24,28,5.09,Monday,35.59
100,6,5.82,Monday,121.21
75,27,3.78,Friday,79.29
56,47,4.36,Friday,48.63
109,44,5.8,Monday,114.91
37,27,1.12,Wednesday,16.46
44,20,3.26,Saturday,52.05
43,42,7.81,Wednesday,44.31
86,10,5.06,Friday,98.33
108,41,2.78,Thursday,81.48
5,42,4.65,Monday,5.0
15,16,3.4,Friday,22.61
96,34,4.73,Friday,97.71
61,53,1.88,Saturday,39.0
93,40,1.93,Monday,77.3
54,35,2.0,Saturday,42.04
27,25,7.58,Monday,53.13
35,17,6.13,Saturday,59.6
98,35,2.14,Wednesday,71.27
46,27,2.32,Thursday,37.73
103,19,6.12,Thursday,110.77
11,35,2.09,Monday,5.0
20,49,2.64,Tuesday,5.0
94,57,7.74,Sunday,100.9
116,4,2.79,Friday,127.62
120,16,5.63,Friday,130.54
64,55,7.85,Monday,71.8
117,42,3.62,Saturday,118.43
6,42,1.12,Tuesday,5.0
5,53,2.71,Wednesday,5.0
52,41,6.82,Saturday,68.68
16,53,7.05,Saturday,20.23
73,8,6.38,Monday,96.09
41,8,1.79,Monday,48.0
36,5,6.57,Friday,65.69
13,9,7.43,Monday,45.99
109,53,5.2,Monday,99.05
103,10,7.59,Monday,132.27
23,44,6.79,Friday,23.58
52,54,5.67,Wednesday,38.43
84,17,5.04,Wednesday,75.49
7,49,3.44,Sunday,5.0
24,31,2.12,Sunday,19.02
28,35,5.23,Monday,34.2
58,54,3.23,Sunday,41.18
37,32,7.07,Friday,49.92
28,41,7.95,Wednesday,27.68
120,29,6.27,Saturday,146.17
79,38,1.63,Wednesday,48.99
117,31,3.02,Wednesday,91.01
76,40,1.76,Friday,51.19
40,59,5.55,Sunday,34.55
42,35,6.36,Saturday,54.2
108,39,7.48,Friday,112.74
88,29,4.07,Monday,89.38
103,57,7.31,Thursday,89.96
116,35,7.15,Wednesday,106.59
93,6,3.22,Thursday,91.66
103,24,7.08,Friday,121.87
29,4,3.63,Friday,43.69
97,12,3.08,Friday,102.94
22,7,5.54,Thursday,39.88
114,12,3.3,Friday,121.26
86,35,5.41,Monday,88.29
70,56,5.27,Friday,59.18
58,40,4.94,Tuesday,47.48
39,15,3.66,Sunday,53.33
84,33,4.84,Thursday,80.81
65,49,5.18,Tuesday,50.63
45,38,4.82,Friday,40.31
104,47,4.11,Monday,96.24
37,26,1.1,Wednesday,16.84
72,54,5.11,Saturday,72.97
37,58,2.18,Sunday,10.93
18,17,5.5,Saturday,37.59
25,31,6.32,Friday,34.03
52,10,4.5,Sunday,68.73
24,7,4.8,Sunday,47.21
12,31,7.66,Monday,30.53
11,49,6.93,Sunday,15.73
71,6,7.4,Thursday,89.23
21,14,6.7,Tuesday,40.57
37,47,1.76,Tuesday,16.19
52,4,2.04,Tuesday,49.63
80,29,4.69,Thursday,78.26
63,33,2.72,Saturday,60.19
119,53,4.34,Monday,109.52
90,53,3.76,Sunday,74.64
26,38,4.85,Thursday,24.2
114,38,6.23,Tuesday,101.3
34,28,6.01,Friday,45.08
42,45,4.65,Wednesday,29.98
106,29,6.76,Sunday,126.86
113,7,4.02,Thursday,114.82
55,22,7.28,Thursday,66.92
58,13,1.5,Monday,58.8
12,12,7.68,Monday,45.98
31,42,5.58,Thursday,25.21
31,40,3.66,Tuesday,18.46
102,8,2.38,Wednesday,85.27
25,10,4.35,Sunday,39.39
34,25,2.36,Monday,28.99
101,49,2.16,Sunday,87.0
32,28,5.32,Tuesday,38.14
115,48,4.66,Sunday,112.9
68,45,5.69,Friday,64.78
101,14,7.51,Monday,131.81
73,28,4.73,Tuesday,60.58
65,15,5.07,Tuesday,65.38
52,42,1.63,Wednesday,21.32
23,20,6.02,Wednesday,29.82
8,27,3.8,Friday,7.8
39,35,7.84,Tuesday,51.01
68,49,6.76,Saturday,69.97
53,42,4.66,Tuesday,41.0
21,45,1.86,Wednesday,5.0
48,14,7.02,Saturday,81.32
96,46,6.6,Monday,103.9
34,38,2.29,Monday,22.1
97,50,3.07,Sunday,85.28
50,6,6.55,Thursday,64.92
10,7,2.3,Wednesday,11.23
103,58,7.42,Thursday,86.93
109,39,3.97,Saturday,114.26
41,10,1.61,Wednesday,35.11
28,44,6.71,Friday,33.47
97,51,3.61,Tuesday,67.66
117,30,4.69,Friday,114.4
50,33,1.79,Saturday,41.91
57,60,1.02,Wednesday,18.01
99,11,5.47,Saturday,126.48
103,56,4.61,Tuesday,75.21
64,53,5.15,Monday,54.97
101,31,6.56,Monday,112.26
120,16,5.53,Saturday,145.6
67,42,2.22,Thursday,46.75
89,43,3.53,Wednesday,67.71
36,24,7.34,Wednesday,46.06
91,13,6.39,Monday,115.38
37,25,4.9,Sunday,49.05
71,3,2.79,Friday,80.67
22,48,3.11,Sunday,5.73
29,39,6.12,Tuesday,33.89
110,23,6.96,Friday,123.31
99,28,5.7,Friday,107.22
58,48,6.67,Saturday,67.58
62,38,6.37,Monday,65.2
71,56,2.05,Sunday,47.2
108,25,3.97,Sunday,116.86
50,59,2.07,Monday,23.81
28,3,2.65,Sunday,41.7
118,56,7.08,Monday,120.29
36,57,4.31,Saturday,23.66
51,53,4.75,Thursday,37.52
90,42,2.25,Friday,71.89
27,17,3.19,Saturday,32.37
70,23,2.61,Wednesday,55.02
31,49,2.44,Tuesday,12.44
110,11,5.47,Thursday,117.59
6,55,2.8,Wednesday,5.0
94,11,5.42,Friday,112.99
21,12,1.41,Sunday,22.42
108,54,1.99,Monday,86.36
37,59,2.92,Friday,16.48
13,55,5.18,Saturday,5.0
47,28,5.73,Tuesday,50.66
52,43,4.1,Saturday,46.92
43,37,4.12,Thursday,36.49
97,54,6.07,Thursday,83.81
46,27,1.11,Tuesday,31.75
30,28,3.39,Wednesday,25.61
103,13,6.73,Wednesday,105.48
54,40,5.22,Thursday,48.24
29,4,3.36,Thursday,37.24
28,9,7.34,Sunday,60.75
17,20,6.41,Monday,37.22
64,29,2.85,Sunday,58.01
11,36,5.52,Sunday,20.07
61,29,5.17,Wednesday,55.09
40,19,3.81,Tuesday,38.59
49,45,3.57,Wednesday,24.66
24,46,3.4,Monday,12.16
69,53,5.32,Saturday,66.98
12,56,4.1,Thursday,5.0
114,26,6.82,Thursday,114.35
20,27,5.69,Monday,31.51
18,9,1.49,Sunday,19.15
80,54,5.48,Tuesday,63.3
119,8,2.9,Thursday,111.21
91,55,5.15,Friday,79.47
19,26,5.76,Sunday,35.76
96,35,2.62,Thursday,76.67
102,51,4.2,Friday,88.37
70,31,2.33,Monday,63.01
36,45,1.37,Monday,14.74
91,24,3.65,Sunday,97.85
67,28,3.54,Thursday,57.71
90,30,7.97,Wednesday,89.26
55,52,4.12,Friday,40.67
29,23,3.33,Tuesday,30.14
62,51,5.06,Thursday,50.8
67,9,1.62,Tuesday,54.73
66,19,7.73,Thursday,78.15
26,22,5.44,Wednesday,31.23
62,43,6.28,Wednesday,52.23
62,51,2.19,Sunday,42.26
90,22,3.87,Sunday,101.05
53,56,3.96,Wednesday,31.03
56,24,6.75,Saturday,81.49
46,30,1.01,Wednesday,29.46
74,42,3.11,Monday,59.83
19,51,7.87,Monday,26.73
58,9,4.32,Saturday,78.45
111,3,3.68,Friday,126.01
64,34,1.84,Tuesday,38.11
105,15,7.82,Thursday,113.14
101,32,1.14,Thursday,77.06
12,25,6.16,Saturday,32.16
57,53,6.38,Monday,57.71
64,58,2.71,Sunday,40.95
112,21,5.7,Thursday,115.86
112,34,1.65,Monday,95.92
9,32,2.8,Friday,6.15
107,31,6.52,Tuesday,98.24
72,51,7.05,Friday,71.48
10,47,5.26,Saturday,9.08
113,31,4.55,Wednesday,89.43
100,32,2.12,Wednesday,76.15
120,18,1.44,Wednesday,91.87
98,42,1.82,Friday,77.96
51,21,2.59,Thursday,47.63
103,20,3.39,Tuesday,88.28
59,3,3.67,Wednesday,63.03
44,16,3.42,Saturday,59.29
56,53,2.67,Saturday,37.48
20,49,4.57,Wednesday,13.2
17,52,6.78,Wednesday,10.32
118,4,2.96,Tuesday,110.43
110,56,7.6,Wednesday,87.33
34,30,7.11,Tuesday,45.03
23,51,2.13,Saturday,5.0
21,52,6.5,Wednesday,21.99
67,32,5.02,Friday,72.77
23,40,4.97,Sunday,23.35
96,53,3.74,Friday,75.61
62,6,4.51,Saturday,88.68
59,3,3.78,Tuesday,63.71
94,10,4.78,Friday,111.06
105,31,5.4,Tuesday,89.19
94,57,5.72,Friday,88.97
66,41,4.73,Friday,62.79
27,5,6.05,Tuesday,43.43
13,34,1.99,Thursday,5.0
16,12,2.48,Friday,23.31
5,12,6.73,Wednesday,25.21
62,21,3.26,Sunday,63.37
5,48,1.16,Saturday,5.0
115,36,2.08,Thursday,93.15
38,35,2.57,Tuesday,25.58
100,25,7.7,Thursday,107.74
52,57,5.01,Monday,44.7
93,30,7.53,Monday,113.75
108,34,5.03,Friday,109.46
113,52,4.36,Friday,97.18
5,9,3.2,Wednesday,11.03
20,31,5.24,Sunday,23.65
65,10,1.97,Saturday,73.44
107,3,7.29,Thursday,126.92
68,59,6.81,Monday,64.66
67,57,3.22,Friday,46.69
73,5,7.67,Saturday,119.66
26,26,6.78,Thursday,39.34
97,25,5.66,Friday,106.46
71,10,1.85,Friday,67.65
80,56,4.35,Monday,65.94
30,59,4.54,Monday,20.14
20,49,2.63,Friday,5.0
55,39,1.56,Tuesday,37.02
105,5,6.44,Friday,126.9
90,53,1.85,Saturday,72.0
61,35,5.16,Friday,61.37
33,30,7.56,Wednesday,43.12
82,49,7.13,Sunday,92.74
96,10,2.94,Wednesday,85.07
73,36,6.96,Wednesday,70.84
51,37,1.0,Tuesday,27.58
117,34,1.12,Tuesday,84.66
98,26,5.22,Friday,99.14
114,16,3.55,Wednesday,99.0
66,34,3.71,Tuesday,53.6
120,58,4.95,Monday,108.33
73,48,2.34,Friday,52.03
80,45,2.48,Saturday,69.32
20,18,4.39,Sunday,31.34
94,6,6.28,Thursday,105.73
94,54,5.34,Friday,84.07
52,39,3.08,Thursday,39.07
89,56,4.01,Wednesday,57.31
43,23,2.19,Sunday,40.16
104,16,1.52,Thursday,88.9
37,33,6.48,Wednesday,39.03
98,57,2.86,Monday,76.35
105,50,2.24,Thursday,76.41
27,20,5.84,Sunday,41.32
14,9,5.33,Friday,29.94
73,12,5.43,Wednesday,74.6
104,9,2.6,Friday,105.41
38,35,2.63,Sunday,32.66
56,25,2.55,Tuesday,47.55
99,23,2.22,Wednesday,77.16
14,21,5.59,Thursday,22.69
23,50,6.94,Wednesday,23.8
62,21,6.07,Friday,76.55
100,38,6.54,Monday,105.23
5,31,3.83,Wednesday,5.0
73,20,5.58,Thursday,81.58
113,4,3.48,Tuesday,110.81
8,3,4.68,Saturday,25.59
20,49,4.37,Monday,7.83
28,7,2.24,Tuesday,32.11
84,22,3.71,Wednesday,70.99
6,13,7.75,Friday,36.91
117,44,2.74,Sunday,107.17
96,4,1.94,Friday,100.71
36,5,3.93,Thursday,46.24
95,25,6.53,Friday,106.45
88,57,5.08,Monday,80.42
28,14,5.77,Friday,46.68
16,22,2.33,Thursday,13.86
54,7,5.33,Saturday,82.77
39,39,3.26,Wednesday,23.52
37,40,6.84,Sunday,52.07
37,32,5.41,Wednesday,36.13
65,11,2.39,Friday,66.38
55,36,1.45,Tuesday,36.59
47,55,1.3,Wednesday,12.0
105,46,3.6,Saturday,107.38
16,37,2.86,Friday,6.44
71,54,5.52,Sunday,64.27
69,60,4.5,Thursday,52.28
37,24,2.86,Saturday,38.05
44,46,2.04,Friday,25.04
78,26,1.89,Saturday,78.69
47,19,7.05,Wednesday,59.26
48,12,2.7,Sunday,56.91
33,32,5.56,Thursday,34.29
17,58,6.67,Friday,14.08
16,48,5.3,Monday,11.45
99,25,7.02,Thursday,104.88
50,34,3.75,Monday,51.57
6,19,7.69,Saturday,37.07
119,52,1.93,Tuesday,81.28
118,53,1.72,Thursday,84.1
39,19,5.61,Saturday,61.61
91,16,7.6,Monday,116.31
85,11,6.66,Wednesday,89.24
94,42,1.53,Wednesday,66.73
12,4,2.96,Tuesday,23.44
97,47,7.51,Thursday,91.3
30,27,2.77,Thursday,22.23
78,41,6.47,Thursday,72.97
94,11,6.78,Saturday,132.87
38,56,4.47,Sunday,30.38
119,24,3.7,Sunday,128.86
109,45,4.15,Tuesday,85.76
11,48,2.59,Thursday,5.0
72,6,7.23,Saturday,113.58
62,28,4.15,Wednesday,50.15
118,60,7.18,Monday,111.56
113,31,1.74,Saturday,114.6
79,47,7.92,Sunday,90.28
33,36,4.1,Sunday,31.43
40,25,1.33,Wednesday,26.46
93,39,1.27,Wednesday,63.57
25,13,6.22,Monday,48.62
40,8,5.61,Wednesday,47.46
14,20,6.61,Tuesday,28.27
105,23,1.74,Monday,97.63
77,44,1.25,Wednesday,44.5
28,38,4.56,Friday,29.05
68,43,3.71,Saturday,58.11
103,40,4.23,Wednesday,78.29
53,36,7.94,Tuesday,57.76
103,19,7.8,Thursday,111.37
116,39,7.6,Wednesday,105.16
40,27,6.49,Sunday,54.26
86,40,3.48,Sunday,78.29
117,60,3.88,Sunday,104.98
107,14,4.85,Thursday,111.55
100,25,6.81,Sunday,122.97
28,55,1.48,Friday,5.0
27,44,3.97,Wednesday,13.72
66,24,1.58,Sunday,63.78
100,23,4.6,Monday,108.92
41,29,7.29,Thursday,51.95
16,59,6.48,Friday,11.85
117,33,2.59,Monday,109.23
59,8,7.83,Monday,97.01
17,29,5.67,Monday,25.35
27,42,1.07,Monday,5.0
93,36,2.79,Wednesday,64.1
103,14,2.82,Sunday,111.33
109,47,1.48,Saturday,91.26
34,59,7.72,Wednesday,29.13
21,55,4.35,Wednesday,6.75
117,9,7.27,Friday,139.12
66,12,3.26,Friday,73.28
88,47,1.88,Sunday,74.54
116,19,4.32,Saturday,136.68
93,28,1.8,Friday,74.76
90,23,4.4,Sunday,106.5
17,30,7.44,Sunday,38.74
63,60,4.65,Tuesday,45.84
23,48,5.32,Saturday,23.89
53,4,2.1,Friday,61.79
104,56,1.31,Saturday,82.11
16,45,1.78,Wednesday,5.0
65,3,5.19,Wednesday,72.19
109,53,1.67,Saturday,89.19
23,55,3.63,Tuesday,6.78
80,38,4.85,Tuesday,61.05
13,53,3.72,Saturday,5.0
75,28,2.15,Friday,68.88
32,31,2.92,Thursday,24.19
82,23,7.5,Tuesday,92.62
99,13,5.73,Monday,118.87
56,42,4.47,Wednesday,44.19
87,13,1.09,Saturday,88.88
115,38,7.95,Monday,133.4
20,51,5.7,Saturday,18.54
73,41,3.22,Sunday,65.46
103,42,7.15,Wednesday,83.57
16,37,2.81,Wednesday,5.0
29,56,4.81,Tuesday,15.7
56,36,5.45,Tuesday,53.1
89,57,2.55,Monday,70.03
104,49,7.85,Sunday,122.22
57,26,6.24,Saturday,80.82
27,56,4.9,Sunday,15.75
20,24,2.26,Wednesday,12.28
61,7,1.38,Monday,65.37
43,58,3.24,Thursday,21.5
113,35,6.27,Monday,126.55
57,60,2.89,Friday,38.79
46,38,4.78,Monday,51.82
62,49,6.1,Sunday,68.08
43,22,1.76,Friday,37.85
18,21,5.8,Friday,35.89
99,37,1.64,Friday,84.87
9,54,7.76,Thursday,12.0
39,45,4.42,Monday,31.64
91,19,2.05,Sunday,91.03
97,47,3.4,Monday,82.43
111,45,3.89,Thursday,86.59
79,36,6.31,Wednesday,71.06
22,11,6.2,Tuesday,36.25
115,28,5.28,Sunday,126.9
80,4,1.74,Sunday,91.4
13,55,2.06,Monday,5.0
78,11,1.66,Tuesday,67.79
62,11,5.04,Saturday,90.16
112,42,7.14,Saturday,133.33
21,19,4.04,Thursday,29.6
106,3,2.13,Saturday,124.16
11,27,4.91,Sunday,23.45
50,45,6.68,Saturday,60.6
17,42,6.19,Wednesday,17.78
44,44,7.17,Wednesday,45.53
46,27,2.95,Wednesday,32.92
13,41,2.36,Saturday,5.0
54,37,7.16,Thursday,57.97
31,5,5.6,Friday,50.59
70,52,3.18,Friday,52.9
9,39,6.2,Tuesday,12.18
33,46,6.71,Friday,41.35
41,46,5.3,Friday,36.12
42,53,5.82,Wednesday,31.17
87,32,3.63,Wednesday,64.56
12,40,4.77,Saturday,13.75
116,36,4.67,Tuesday,96.21
113,14,6.94,Monday,140.68
69,21,6.88,Sunday,92.82
90,39,6.83,Tuesday,78.69
120,46,1.08,Tuesday,81.51
21,51,6.25,Thursday,18.15
75,19,6.31,Saturday,104.45
93,12,5.75,Thursday,104.43
49,59,6.29,Tuesday,41.38
8,57,6.89,Tuesday,7.89
40,51,4.29,Tuesday,25.54
74,49,4.51,Friday,59.72
35,14,1.87,Sunday,37.53
23,18,3.7,Sunday,32.0
65,26,5.5,Thursday,66.6
112,21,6.46,Tuesday,111.77
58,10,2.52,Sunday,69.73
43,33,1.96,Wednesday,23.69
95,23,5.64,Sunday,111.09
78,19,1.01,Saturday,76.52
94,25,2.25,Saturday,95.26
23,39,1.2,Sunday,5.0
43,56,2.17,Wednesday,12.59
71,18,2.27,Saturday,73.71
49,8,3.71,Friday,63.07
17,10,3.82,Sunday,35.3
118,27,7.12,Friday,128.52
96,20,4.57,Sunday,111.97
62,27,6.06,Monday,77.61
24,14,1.73,Monday,20.17
96,17,2.58,Monday,98.68
